date,month,year,quarter,category,description,amount,type,payment_method,notes
2024-08-13,2024-08,2024,Q3,Shopping,Home Goods,436.78,Expense,Debit Card,
2024-01-04,2024-01,2024,Q1,Travel,Travel Insurance,1495.4,Expense,Bank Transfer,
2024-03-01,2024-03,2024,Q1,Food,Restaurant,23.65,Expense,Cash,
2023-08-22,2023-08,2023,Q3,Utilities,Internet,180.68,Expense,Bank Transfer,
2023-09-18,2023-09,2023,Q3,Food,Restaurant,139.36,Expense,Digital Wallet,
2024-07-20,2024-07,2024,Q3,Utilities,Phone Bill,151.65,Expense,Bank Transfer,
2024-02-26,2024-02,2024,Q1,Housing,Mortgage Payment,1973.13,Expense,Cash,
2024-06-27,2024-06,2024,Q2,Food,Grocery Store,115.3,Expense,Digital Wallet,
2023-04-23,2023-04,2023,Q2,Transport,Parking,163.11,Expense,Bank Transfer,
2023-11-19,2023-11,2023,Q4,Other,Subscription,424.77,Expense,Digital Wallet,
2023-04-04,2023-04,2023,Q2,Entertainment,Netflix,152.27,Expense,Credit Card,
2023-10-12,2023-10,2023,Q4,Shopping,Amazon,13.88,Expense,Digital Wallet,
2024-09-12,2024-09,2024,Q3,Entertainment,Netflix,165.17,Expense,Credit Card,
2023-02-11,2023-02,2023,Q1,Shopping,Clothing Store,268.81,Expense,Credit Card,
2024-11-25,2024-11,2024,Q4,Utilities,Water Bill,71.64,Expense,Credit Card,
2024-04-01,2024-04,2024,Q2,Transport,Public Transit,161.66,Expense,Debit Card,
2024-07-21,2024-07,2024,Q3,Food,Restaurant,23.89,Expense,Digital Wallet,
2023-02-25,2023-02,2023,Q1,Food,Coffee Shop,144.71,Expense,Digital Wallet,
2024-09-20,2024-09,2024,Q3,Entertainment,Cinema,143.29,Expense,Debit Card,
2024-02-28,2024-02,2024,Q1,Entertainment,Games,117.32,Expense,Cash,
2024-09-18,2024-09,2024,Q3,Food,Supermarket,250.95,Expense,Credit Card,
2023-07-20,2023-07,2023,Q3,Transport,Parking,486.21,Expense,Debit Card,
2024-09-18,2024-09,2024,Q3,Utilities,Gas Bill,58.83,Expense,Cash,
2024-12-06,2024-12,2024,Q4,Housing,Mortgage Payment,2416.06,Expense,Cash,
2024-10-11,2024-10,2024,Q4,Food,Food Delivery,272.91,Expense,Cash,
2023-05-29,2023-05,2023,Q2,Shopping,Clothing Store,399.12,Expense,Credit Card,
2024-01-19,2024-01,2024,Q1,Food,Food Delivery,2011.6759516511347,Expense,Bank Transfer,
2023-07-23,2023-07,2023,Q3,Travel,Hotel,1143.74,Expense,Cash,
2023-10-06,2023-10,2023,Q4,Food,Coffee Shop,27.86,Expense,Cash,
2023-08-11,2023-08,2023,Q3,Housing,Maintenance,1688.28,Expense,Credit Card,
2024-10-13,2024-10,2024,Q4,Housing,Monthly Rent,2134.07,Expense,Debit Card,
2023-07-13,2023-07,2023,Q3,Transport,Gas Station,371.48,Expense,Credit Card,
2024-06-11,2024-06,2024,Q2,Shopping,Electronics,529.27,Expense,Cash,
2024-12-31,2024-12,2024,Q4,Education,Workshop,738.94,Expense,Digital Wallet,
2024-05-25,2024-05,2024,Q2,Housing,Monthly Rent,1975.6,Expense,Debit Card,
2023-07-30,2023-07,2023,Q3,Healthcare,Dental,425.41,Expense,Bank Transfer,
2023-08-06,2023-08,2023,Q3,Education,Online Course,599.96,Expense,Digital Wallet,
2024-03-08,2024-03,2024,Q1,Housing,Mortgage Payment,1187.15,Expense,Bank Transfer,
2023-09-19,2023-09,2023,Q3,Entertainment,Cinema,65.95,Expense,Debit Card,
2024-01-18,2024-01,2024,Q1,Transport,Public Transit,240.37,Expense,Credit Card,
2024-08-16,2024-08,2024,Q3,Entertainment,Cinema,139.23,Expense,Debit Card,
2024-09-20,2024-09,2024,Q3,Travel,Flight Ticket,2059.86,Expense,Digital Wallet,
2024-07-23,2024-07,2024,Q3,Housing,Monthly Rent,1977.59,Expense,Digital Wallet,
2024-05-12,2024-05,2024,Q2,Shopping,Amazon,396.9,Expense,Digital Wallet,
2024-02-02,2024-02,2024,Q1,Entertainment,Games,105.99,Expense,Bank Transfer,
2024-06-18,2024-06,2024,Q2,Entertainment,Netflix,94.58,Expense,Credit Card,
2023-05-01,2023-05,2023,Q2,Utilities,Electricity Bill,265.83,Expense,Cash,
2023-06-04,2023-06,2023,Q2,Housing,Monthly Rent,1761.4,Expense,Debit Card,
2024-06-22,2024-06,2024,Q2,Food,Food Delivery,100.89,Expense,Cash,
2024-07-09,2024-07,2024,Q3,Food,Coffee Shop,151.88,Expense,Digital Wallet,
2024-06-14,2024-06,2024,Q2,Housing,Home Insurance,2201.14,Expense,Debit Card,
2023-12-11,2023-12,2023,Q4,Utilities,Phone Bill,57.02,Expense,Digital Wallet,
2023-10-08,2023-10,2023,Q4,Other,ATM Withdrawal,428.46,Expense,Credit Card,
2024-03-09,2024-03,2024,Q1,Travel,Flight Ticket,1481.68,Expense,Bank Transfer,
2023-06-22,2023-06,2023,Q2,Utilities,Water Bill,68.44,Expense,Digital Wallet,
2024-04-09,2024-04,2024,Q2,Housing,Monthly Rent,1076.21,Expense,Debit Card,
2023-02-15,2023-02,2023,Q1,Housing,Property Tax,2299.01,Expense,Credit Card,
2024-12-02,2024-12,2024,Q4,Education,Workshop,686.61,Expense,Credit Card,
2023-05-08,2023-05,2023,Q2,Food,Coffee Shop,193.96,Expense,Bank Transfer,
2023-05-17,2023-05,2023,Q2,Transport,Uber/Grab,178.0,Expense,Bank Transfer,
2024-12-29,2024-12,2024,Q4,Entertainment,Spotify,21.0,Expense,Bank Transfer,
2023-06-19,2023-06,2023,Q2,Healthcare,Doctor Visit,386.05,Expense,Bank Transfer,
2023-08-07,2023-08,2023,Q3,Shopping,Online Shopping,199.74,Expense,Digital Wallet,
2024-11-20,2024-11,2024,Q4,Transport,Gas Station,238.84,Expense,Credit Card,
2023-10-01,2023-10,2023,Q4,Housing,Monthly Rent,2358.17,Expense,Debit Card,
2024-11-21,2024-11,2024,Q4,Food,Grocery Store,233.13,Expense,Debit Card,
2024-01-15,2024-01,2024,Q1,Transport,Parking,394.06,Expense,Digital Wallet,
2023-04-15,2023-04,2023,Q2,Housing,Mortgage Payment,1289.62,Expense,Credit Card,
2023-02-25,2023-02,2023,Q1,Utilities,Water Bill,260.25,Expense,Digital Wallet,
2023-10-23,2023-10,2023,Q4,Utilities,Electricity Bill,91.23,Expense,Debit Card,
2023-10-29,2023-10,2023,Q4,Transport,Public Transit,62.17,Expense,Credit Card,
2023-03-23,2023-03,2023,Q1,Housing,Property Tax,2342.07,Expense,Credit Card,
2024-06-17,2024-06,2024,Q2,Utilities,Phone Bill,256.76,Expense,Debit Card,
2024-10-19,2024-10,2024,Q4,Healthcare,Doctor Visit,177.57,Expense,Debit Card,
2024-06-05,2024-06,2024,Q2,Transport,Car Insurance,117.47,Expense,Credit Card,
2024-07-30,2024-07,2024,Q3,Shopping,Electronics,415.01,Expense,Credit Card,
2023-01-10,2023-01,2023,Q1,Transport,Car Insurance,465.22,Expense,Digital Wallet,
2024-05-10,2024-05,2024,Q2,Other,Bank Fee,331.41,Expense,Credit Card,
2023-05-16,2023-05,2023,Q2,Education,Tuition,472.99,Expense,Debit Card,
2024-03-20,2024-03,2024,Q1,Utilities,Phone Bill,278.91,Expense,Credit Card,
2024-05-02,2024-05,2024,Q2,Utilities,Gas Bill,288.47,Expense,Credit Card,
2024-08-08,2024-08,2024,Q3,Entertainment,Cinema,25.14,Expense,Bank Transfer,
2023-01-17,2023-01,2023,Q1,Housing,Maintenance,2310.29,Expense,Digital Wallet,
2024-08-03,2024-08,2024,Q3,Shopping,Clothing Store,330.21,Expense,Digital Wallet,
2023-04-11,2023-04,2023,Q2,Shopping,Home Goods,292.77,Expense,Bank Transfer,
2024-02-14,2024-02,2024,Q1,Food,Coffee Shop,237.9,Expense,Bank Transfer,
2024-11-11,2024-11,2024,Q4,Entertainment,Games,113.11,Expense,Debit Card,
2024-06-20,2024-06,2024,Q2,Shopping,Electronics,120.52,Expense,Credit Card,
2024-10-03,2024-10,2024,Q4,Healthcare,Dental,650.29,Expense,Cash,
2024-07-04,2024-07,2024,Q3,Healthcare,Lab Tests,759.61,Expense,Credit Card,
2024-04-18,2024-04,2024,Q2,Shopping,Clothing Store,205.28,Expense,Bank Transfer,
2024-03-29,2024-03,2024,Q1,Entertainment,Cinema,91.62,Expense,Debit Card,
2024-10-11,2024-10,2024,Q4,Transport,Uber/Grab,431.49,Expense,Bank Transfer,
2023-03-31,2023-03,2023,Q1,Shopping,Amazon,272.82,Expense,Bank Transfer,
2023-07-18,2023-07,2023,Q3,Travel,Flight Ticket,774.89,Expense,Credit Card,
2024-04-19,2024-04,2024,Q2,Entertainment,Gym Membership,48.1,Expense,Digital Wallet,
2023-09-18,2023-09,2023,Q3,Entertainment,Netflix,65.09,Expense,Debit Card,
2024-08-24,2024-08,2024,Q3,Shopping,Amazon,525.44,Expense,Debit Card,
2023-07-19,2023-07,2023,Q3,Travel,Travel Insurance,2860.34,Expense,Digital Wallet,
2024-06-27,2024-06,2024,Q2,Entertainment,Games,81.06,Expense,Credit Card,
2023-02-12,2023-02,2023,Q1,Healthcare,Health Insurance,380.92,Expense,Digital Wallet,
2023-12-13,2023-12,2023,Q4,Food,Supermarket,26.02,Expense,Bank Transfer,
2023-01-25,2023-01,2023,Q1,Food,Coffee Shop,99.62,Expense,Debit Card,
2024-09-24,2024-09,2024,Q3,Transport,Gas Station,450.32,Expense,Cash,
2023-03-13,2023-03,2023,Q1,Entertainment,Cinema,82.7,Expense,Cash,
2024-06-14,2024-06,2024,Q2,Transport,Uber/Grab,297.22,Expense,Bank Transfer,
2024-07-13,2024-07,2024,Q3,Utilities,Internet,119.78,Expense,Debit Card,
2023-07-30,2023-07,2023,Q3,Food,Supermarket,221.2,Expense,Credit Card,
2024-06-07,2024-06,2024,Q2,Travel,Airbnb,1523.34,Expense,Bank Transfer,
2024-02-24,2024-02,2024,Q1,Healthcare,Pharmacy,376.4,Expense,Credit Card,
2024-10-25,2024-10,2024,Q4,Food,Coffee Shop,266.66,Expense,Credit Card,
2024-12-27,2024-12,2024,Q4,Shopping,Electronics,566.37,Expense,Bank Transfer,
2024-07-15,2024-07,2024,Q3,Food,Food Delivery,145.38,Expense,Cash,
2023-03-25,2023-03,2023,Q1,Housing,Home Insurance,1504.01,Expense,Debit Card,
2024-09-18,2024-09,2024,Q3,Housing,Mortgage Payment,1704.78,Expense,Digital Wallet,
2024-09-05,2024-09,2024,Q3,Housing,Property Tax,2270.92,Expense,Credit Card,
2023-10-10,2023-10,2023,Q4,Education,Books,285.14,Expense,Credit Card,
2023-09-24,2023-09,2023,Q3,Healthcare,Health Insurance,732.56,Expense,Debit Card,
2024-02-27,2024-02,2024,Q1,Housing,Mortgage Payment,8825.064481826566,Expense,Debit Card,
2023-06-21,2023-06,2023,Q2,Other,Miscellaneous,312.26,Expense,Credit Card,
2024-07-31,2024-07,2024,Q3,Entertainment,Netflix,145.52,Expense,Credit Card,
2024-08-09,2024-08,2024,Q3,Food,Food Delivery,5.53,Expense,Digital Wallet,
2023-06-14,2023-06,2023,Q2,Transport,Uber/Grab,326.51,Expense,Debit Card,
2024-06-20,2024-06,2024,Q2,Housing,Maintenance,1915.24,Expense,Digital Wallet,
2023-08-27,2023-08,2023,Q3,Housing,Monthly Rent,767.77,Expense,Cash,
2023-12-18,2023-12,2023,Q4,Food,Coffee Shop,84.48,Expense,Debit Card,
2023-12-06,2023-12,2023,Q4,Shopping,Home Goods,390.57,Expense,Credit Card,
2024-09-28,2024-09,2024,Q3,Transport,Parking,342.81,Expense,Credit Card,
2023-11-01,2023-11,2023,Q4,Housing,Monthly Rent,2160.14,Expense,Bank Transfer,
2023-10-19,2023-10,2023,Q4,Shopping,Electronics,393.42,Expense,Cash,
2024-06-11,2024-06,2024,Q2,Entertainment,Games,42.02,Expense,Bank Transfer,
2023-04-26,2023-04,2023,Q2,Entertainment,Games,184.85,Expense,Credit Card,
2024-02-23,2024-02,2024,Q1,Entertainment,Cinema,63.56,Expense,Bank Transfer,
2023-10-06,2023-10,2023,Q4,Housing,Home Insurance,714.07,Expense,Digital Wallet,
2023-11-17,2023-11,2023,Q4,Healthcare,Lab Tests,548.62,Expense,Credit Card,
2024-02-06,2024-02,2024,Q1,Food,Coffee Shop,184.04,Expense,Credit Card,
2024-03-28,2024-03,2024,Q1,Entertainment,Spotify,122.97,Expense,Bank Transfer,
2024-02-21,2024-02,2024,Q1,Shopping,Online Shopping,528.89,Expense,Cash,
2023-07-29,2023-07,2023,Q3,Food,Supermarket,210.64,Expense,Credit Card,
2024-12-02,2024-12,2024,Q4,Utilities,Internet,275.69,Expense,Cash,
2023-10-10,2023-10,2023,Q4,Food,Food Delivery,48.05,Expense,Cash,
2023-05-29,2023-05,2023,Q2,Travel,Travel Insurance,1273.23,Expense,Cash,
2023-07-27,2023-07,2023,Q3,Shopping,Home Goods,373.22,Expense,Cash,
2024-03-26,2024-03,2024,Q1,Travel,Hotel,119.13,Expense,Debit Card,
2023-07-10,2023-07,2023,Q3,Transport,Uber/Grab,245.89,Expense,Debit Card,
2023-07-23,2023-07,2023,Q3,Shopping,Online Shopping,545.74,Expense,Digital Wallet,
2023-06-24,2023-06,2023,Q2,Utilities,Gas Bill,202.26,Expense,Digital Wallet,
2023-01-30,2023-01,2023,Q1,Travel,Flight Ticket,407.6,Expense,Bank Transfer,
2024-08-10,2024-08,2024,Q3,Healthcare,Pharmacy,246.07,Expense,Digital Wallet,
2024-09-02,2024-09,2024,Q3,Housing,Maintenance,1352.93,Expense,Bank Transfer,
2023-10-20,2023-10,2023,Q4,Food,Food Delivery,122.42,Expense,Debit Card,
2023-05-29,2023-05,2023,Q2,Food,Food Delivery,1000.5234978315839,Expense,Digital Wallet,
2024-04-13,2024-04,2024,Q2,Food,Restaurant,279.41,Expense,Cash,
2024-07-24,2024-07,2024,Q3,Income,Monthly Salary,4638.863027287129,Income,Bank Transfer,
2023-02-25,2023-02,2023,Q1,Education,Online Course,580.43,Expense,Debit Card,
2024-03-05,2024-03,2024,Q1,Utilities,Electricity Bill,198.23,Expense,Bank Transfer,
2023-12-23,2023-12,2023,Q4,Education,Tuition,944.75,Expense,Debit Card,
2023-02-21,2023-02,2023,Q1,Other,Bank Fee,111.5,Expense,Bank Transfer,
2023-08-30,2023-08,2023,Q3,Transport,Parking,1363.8219289455303,Expense,Digital Wallet,
2023-12-11,2023-12,2023,Q4,Food,Coffee Shop,206.9,Expense,Cash,
2024-11-11,2024-11,2024,Q4,Entertainment,Spotify,183.0,Expense,Debit Card,
2023-05-08,2023-05,2023,Q2,Healthcare,Dental,1769.2467658384282,Expense,Debit Card,
2023-12-16,2023-12,2023,Q4,Utilities,Water Bill,88.09,Expense,Cash,
2023-05-20,2023-05,2023,Q2,Transport,Gas Station,461.72,Expense,Cash,
2024-03-01,2024-03,2024,Q1,Transport,Uber/Grab,413.48,Expense,Debit Card,
2023-08-09,2023-08,2023,Q3,Transport,Public Transit,221.34,Expense,Debit Card,
2024-06-21,2024-06,2024,Q2,Shopping,Electronics,94.75,Expense,Credit Card,
2024-05-12,2024-05,2024,Q2,Food,Grocery Store,172.37,Expense,Digital Wallet,
2024-07-17,2024-07,2024,Q3,Shopping,Online Shopping,331.92,Expense,Bank Transfer,
2023-06-28,2023-06,2023,Q2,Housing,Property Tax,1194.58,Expense,Credit Card,
2023-05-16,2023-05,2023,Q2,Entertainment,Spotify,138.89,Expense,Digital Wallet,
2024-12-31,2024-12,2024,Q4,Housing,Property Tax,648.1,Expense,Credit Card,
2024-01-12,2024-01,2024,Q1,Travel,Hotel,2427.07,Expense,Credit Card,
2023-03-01,2023-03,2023,Q1,Food,Restaurant,263.18,Expense,Credit Card,
2023-06-08,2023-06,2023,Q2,Education,Online Course,55.36,Expense,Debit Card,
2023-05-20,2023-05,2023,Q2,Food,Coffee Shop,5.03,Expense,Cash,
2024-01-22,2024-01,2024,Q1,Healthcare,Lab Tests,325.28,Expense,Cash,
2024-01-10,2024-01,2024,Q1,Housing,Maintenance,2221.63,Expense,Debit Card,
2024-05-01,2024-05,2024,Q2,Education,Training,570.48,Expense,Cash,
2023-06-17,2023-06,2023,Q2,Housing,Property Tax,1915.8,Expense,Cash,
2024-09-06,2024-09,2024,Q3,Travel,Airbnb,2191.08,Expense,Cash,
2023-03-21,2023-03,2023,Q1,Housing,Mortgage Payment,1492.37,Expense,Cash,
2024-03-09,2024-03,2024,Q1,Food,Food Delivery,175.12,Expense,Digital Wallet,
2024-07-04,2024-07,2024,Q3,Shopping,Clothing Store,259.59,Expense,Digital Wallet,
2024-04-19,2024-04,2024,Q2,Food,Coffee Shop,219.36,Expense,Bank Transfer,
2024-02-09,2024-01,2024,Q1,Income,Freelance Payment,637.52,Income,Bank Transfer,
2024-12-09,2024-12,2024,Q4,Travel,Tour Package,2765.54,Expense,Bank Transfer,
2023-04-10,2023-04,2023,Q2,Food,Food Delivery,19.74,Expense,Digital Wallet,
2024-07-22,2024-07,2024,Q3,Housing,Maintenance,874.78,Expense,Bank Transfer,
2023-09-27,2023-09,2023,Q3,Utilities,Gas Bill,280.08,Expense,Cash,
2023-03-06,2023-03,2023,Q1,Education,Workshop,787.22,Expense,Bank Transfer,
2024-06-16,2024-06,2024,Q2,Shopping,Home Goods,335.71,Expense,Credit Card,
2024-05-09,2024-05,2024,Q2,Transport,Gas Station,158.04,Expense,Debit Card,
2024-02-09,2024-02,2024,Q1,Entertainment,Cinema,83.54,Expense,Digital Wallet,
2024-09-24,2024-09,2024,Q3,Housing,Property Tax,2199.86,Expense,Debit Card,
2023-12-19,2023-12,2023,Q4,Utilities,Phone Bill,242.15,Expense,Cash,
2023-12-09,2023-12,2023,Q4,Shopping,Clothing Store,466.41,Expense,Digital Wallet,
2023-11-17,2023-11,2023,Q4,Healthcare,Dental,90.39,Expense,Digital Wallet,
2023-04-05,2023-04,2023,Q2,Utilities,Phone Bill,177.73,Expense,Cash,
2024-03-28,2024-03,2024,Q1,Other,Donation,310.03,Expense,Debit Card,
2024-08-15,2024-08,2024,Q3,Transport,Parking,471.38,Expense,Credit Card,
2024-01-01,2024-01,2024,Q1,Housing,Mortgage Payment,1422.09,Expense,Credit Card,
2024-05-30,2024-05,2024,Q2,Travel,Hotel,572.78,Expense,Debit Card,
2023-12-25,2023-12,2023,Q4,Food,Coffee Shop,176.91,Expense,Bank Transfer,
2023-01-06,2023-01,2023,Q1,Shopping,Online Shopping,330.8,Expense,Digital Wallet,
2023-03-09,2023-03,2023,Q1,Transport,Uber/Grab,339.92,Expense,Bank Transfer,
2024-12-30,2024-12,2024,Q4,Utilities,Gas Bill,103.43,Expense,Credit Card,
2023-05-15,2023-05,2023,Q2,Food,Supermarket,88.83,Expense,Debit Card,
2023-05-19,2023-05,2023,Q2,Food,Food Delivery,213.02,Expense,Debit Card,
2023-10-12,2023-10,2023,Q4,Food,Supermarket,13.6,Expense,Debit Card,
2024-05-17,2024-05,2024,Q2,Food,Restaurant,19.64,Expense,Credit Card,
2023-03-02,2023-03,2023,Q1,Income,Monthly Salary,5314.3704549414915,Income,Bank Transfer,
2023-06-04,2023-06,2023,Q2,Entertainment,Netflix,67.7,Expense,Bank Transfer,
2024-02-09,2024-02,2024,Q1,Shopping,Electronics,330.48,Expense,Debit Card,
2023-09-15,2023-09,2023,Q3,Housing,Home Insurance,1228.39,Expense,Digital Wallet,
2023-10-15,2023-10,2023,Q4,Housing,Property Tax,2134.77,Expense,Credit Card,
2023-11-27,2023-11,2023,Q4,Income,Monthly Salary,5102.984871864871,Income,Bank Transfer,
2024-12-28,2024-12,2024,Q4,Education,Workshop,608.53,Expense,Bank Transfer,
2023-12-06,2023-12,2023,Q4,Housing,Maintenance,2190.66,Expense,Credit Card,
2024-11-17,2024-11,2024,Q4,Healthcare,Pharmacy,649.08,Expense,Cash,
2023-03-14,2023-03,2023,Q1,Travel,Travel Insurance,1792.37,Expense,Debit Card,
2023-10-30,2023-10,2023,Q4,Transport,Parking,382.57,Expense,Debit Card,
2024-04-26,2024-04,2024,Q2,Housing,Mortgage Payment,2051.31,Expense,Debit Card,
2024-06-15,2024-06,2024,Q2,Housing,Home Insurance,2003.25,Expense,Debit Card,
2023-04-03,2023-04,2023,Q2,Transport,Parking,150.67,Expense,Digital Wallet,
2024-09-01,2024-09,2024,Q3,Entertainment,Spotify,187.82,Expense,Cash,
2024-10-26,2024-10,2024,Q4,Food,Restaurant,157.33,Expense,,
2023-07-16,2023-07,2023,Q3,Other,ATM Withdrawal,174.16,Expense,Debit Card,
2023-02-19,2023-02,2023,Q1,Entertainment,Games,91.58,Expense,Debit Card,
2023-10-29,2023-10,2023,Q4,Other,Miscellaneous,205.08,Expense,Cash,
2023-03-13,2023-03,2023,Q1,Travel,Flight Ticket,1148.74,Expense,Debit Card,
2023-07-21,2023-07,2023,Q3,Housing,Monthly Rent,1468.51,Expense,Credit Card,
2024-11-09,2024-11,2024,Q4,Utilities,Electricity Bill,177.02,Expense,Digital Wallet,
2023-08-18,2023-08,2023,Q3,Healthcare,Doctor Visit,423.46,Expense,Cash,
2024-10-03,2024-10,2024,Q4,Food,Supermarket,14.2,Expense,Debit Card,
2023-12-02,2023-12,2023,Q4,Entertainment,Games,121.3,Expense,Credit Card,
2024-04-19,2024-04,2024,Q2,Transport,Public Transit,387.47,Expense,Credit Card,
2023-08-04,2023-08,2023,Q3,Entertainment,Gym Membership,199.77,Expense,Digital Wallet,
2023-03-25,2023-03,2023,Q1,Food,Coffee Shop,227.56,Expense,Bank Transfer,
2023-07-07,2023-07,2023,Q3,Food,Restaurant,69.48,Expense,Bank Transfer,
2024-09-26,2024-09,2024,Q3,Food,Supermarket,265.61,Expense,Debit Card,
2024-03-11,2024-03,2024,Q1,Food,Grocery Store,66.9,Expense,Credit Card,
2024-09-02,2024-09,2024,Q3,Food,Grocery Store,100.69,Expense,Credit Card,
2024-11-08,2024-11,2024,Q4,Shopping,Electronics,2259.9226824956772,Expense,Credit Card,
2024-06-01,2024-06,2024,Q2,Transport,Parking,302.72,Expense,Bank Transfer,
2023-11-27,2023-11,2023,Q4,Transport,Uber/Grab,414.61,Expense,Credit Card,
2024-08-28,2024-08,2024,Q3,Shopping,Online Shopping,485.66,Expense,Cash,
2024-06-28,2024-06,2024,Q2,Food,Supermarket,270.97,Expense,Credit Card,
2024-03-14,2024-03,2024,Q1,Food,Restaurant,125.15,Expense,Credit Card,
2024-06-12,2024-06,2024,Q2,Travel,Airbnb,2704.39,Expense,Credit Card,
2023-05-20,2023-05,2023,Q2,Transport,Parking,124.47,Expense,Credit Card,
2024-02-16,2024-02,2024,Q1,Food,Restaurant,19.02,Expense,Digital Wallet,
2024-03-21,2024-03,2024,Q1,Housing,Mortgage Payment,1346.75,Expense,Debit Card,
2023-02-16,2023-02,2023,Q1,Utilities,Electricity Bill,55.65,Expense,Debit Card,
2023-01-20,2023-01,2023,Q1,Housing,Home Insurance,2372.36,Expense,Debit Card,
2024-09-26,2024-09,2024,Q3,Food,Restaurant,28.3,Expense,Bank Transfer,
2023-11-07,2023-11,2023,Q4,Shopping,Home Goods,595.04,Expense,Credit Card,
2023-12-06,2023-12,2023,Q4,Utilities,Electricity Bill,54.83,Expense,Credit Card,
2024-11-18,2024-11,2024,Q4,Healthcare,Dental,317.13,Expense,Debit Card,
2024-11-24,2024-11,2024,Q4,Shopping,Electronics,202.32,Expense,Debit Card,
2024-12-02,2024-12,2024,Q4,Transport,Public Transit,462.86,Expense,Debit Card,
2023-05-18,2023-05,2023,Q2,Other,Donation,273.93,Expense,Bank Transfer,
2024-12-02,2024-12,2024,Q4,Shopping,Online Shopping,423.36,Expense,Digital Wallet,
2023-11-04,2023-11,2023,Q4,Housing,Maintenance,1262.84,Expense,Digital Wallet,
2023-06-14,2023-06,2023,Q2,Transport,Parking,233.4,Expense,Cash,
2023-10-19,2023-10,2023,Q4,Transport,Parking,338.93,Expense,Credit Card,
2024-11-27,2024-11,2024,Q4,Transport,Parking,497.6,Expense,Bank Transfer,
2024-07-10,2024-07,2024,Q3,Transport,Car Insurance,247.33,Expense,Bank Transfer,
2024-03-01,2024-03,2024,Q1,Housing,Monthly Rent,1315.2,Expense,Debit Card,
2023-12-01,2023-12,2023,Q4,Shopping,Online Shopping,372.18,Expense,Cash,
2023-08-08,2023-08,2023,Q3,Housing,Mortgage Payment,599.3,Expense,Debit Card,
2023-06-28,2023-06,2023,Q2,Transport,Gas Station,33.99,Expense,Bank Transfer,
2023-06-11,2023-06,2023,Q2,Utilities,Phone Bill,121.85,Expense,Credit Card,
2024-09-20,2024-09,2024,Q3,Food,Coffee Shop,290.78,Expense,Debit Card,
2024-10-12,2024-10,2024,Q4,Entertainment,Spotify,138.29,Expense,Digital Wallet,
2024-07-27,2024-07,2024,Q3,Food,Supermarket,38.77,Expense,Credit Card,
2024-12-19,2024-12,2024,Q4,Shopping,,305.62,Expense,Credit Card,
2024-11-19,2024-11,2024,Q4,Transport,Parking,340.89,Expense,Debit Card,
2023-10-17,2023-10,2023,Q4,Housing,Home Insurance,2226.56,Expense,Credit Card,
2023-06-09,2023-06,2023,Q2,Food,Grocery Store,78.66,Expense,Credit Card,
2023-06-01,2023-06,2023,Q2,Healthcare,Doctor Visit,404.53,Expense,Cash,
2024-07-19,2024-07,2024,Q3,Other,Bank Fee,145.54,Expense,Digital Wallet,
2024-04-29,2024-04,2024,Q2,Transport,Parking,56.82,Expense,Credit Card,
2023-01-07,2023-01,2023,Q1,Other,Subscription,297.39,Expense,Cash,
2023-03-22,2023-03,2023,Q1,Entertainment,Games,100.06,Expense,Digital Wallet,
2023-05-04,2023-05,2023,Q2,Entertainment,Spotify,57.83,Expense,Cash,
2024-02-28,2024-02,2024,Q1,Travel,Flight Ticket,1657.21,Expense,Digital Wallet,
2024-03-16,2024-03,2024,Q1,Shopping,Online Shopping,572.02,Expense,Bank Transfer,
2024-12-13,2024-12,2024,Q4,Housing,Mortgage Payment,1073.76,Expense,Bank Transfer,
2023-03-05,2023-03,2023,Q1,Food,Food Delivery,235.32,Expense,Bank Transfer,
2023-09-28,2023-09,2023,Q3,Income,Monthly Salary,5165.322278309207,Income,Bank Transfer,
2024-10-22,2024-10,2024,Q4,Education,Online Course,403.63,Expense,Digital Wallet,
2024-03-10,2024-03,2024,Q1,Other,Donation,234.19,Expense,Bank Transfer,
2024-02-09,2024-02,2024,Q1,Utilities,Electricity Bill,182.03,Expense,Debit Card,
2023-09-30,2023-09,2023,Q3,Housing,Mortgage Payment,949.62,Expense,Credit Card,
2023-03-05,2023-03,2023,Q1,Entertainment,Gym Membership,20.23,Expense,Digital Wallet,
2024-10-06,2024-10,2024,Q4,Travel,,1612.27,Expense,Credit Card,
2024-08-09,2024-08,2024,Q3,Food,Restaurant,201.74,Expense,Bank Transfer,
2023-04-16,2023-04,2023,Q2,Utilities,Phone Bill,193.2,Expense,Credit Card,
2023-10-30,2023-10,2023,Q4,Entertainment,Cinema,145.65,Expense,Bank Transfer,
2023-07-16,2023-07,2023,Q3,Entertainment,Games,9.06,Expense,Cash,
2023-06-07,2023-06,2023,Q2,Food,Supermarket,206.55,Expense,Cash,
2023-05-22,2023-05,2023,Q2,Utilities,Phone Bill,173.01,Expense,Bank Transfer,
2024-03-29,2024-03,2024,Q1,Travel,Airbnb,1300.72,Expense,Debit Card,
2024-12-09,2024-12,2024,Q4,Transport,Uber/Grab,405.63,Expense,Debit Card,
2023-12-12,2023-12,2023,Q4,Other,Miscellaneous,13.13,Expense,Bank Transfer,
2024-11-19,2024-11,2024,Q4,Housing,,1687.89,Expense,Debit Card,
2024-04-27,2024-04,2024,Q2,Shopping,Electronics,40.75,Expense,Digital Wallet,
